"id","name","year","study","design","outcome","es.calc","direction","n.1","m.1","sd.1","n.2","m.2","sd.2","count.1","count.2","fval","tval","r","pval","es","es.var"
16,"Fact or Artifact? Demand Characteristics and Participants’ Beliefs Can Moderate, but Do Not Fully Account for, the Effects of Facial Feedback on Emotional Experience",2022,2,"between","difference in self-reported anger for angry vs. neutral poses

positive demand vs. control","m_sd","positive",67,0.81,0.98,65,0.81,1.08,NA,NA,NA,NA,NA,NA,0,0.0303099885189437
16,"Fact or Artifact? Demand Characteristics and Participants’ Beliefs Can Moderate, but Do Not Fully Account for, the Effects of Facial Feedback on Emotional Experience",2022,2,"between","difference in self-reported anger for angry vs. happy poses

positive demand vs. control","m_sd","positive",67,0.9,1.27,65,0.82,1.25,NA,NA,NA,NA,NA,NA,0.063482313725492,0.0303252536862011
16,"Fact or Artifact? Demand Characteristics and Participants’ Beliefs Can Moderate, but Do Not Fully Account for, the Effects of Facial Feedback on Emotional Experience",2022,2,"between","difference in self-reported anger for angry  vs. neutral poses

positive demand vs. negative demand","m_sd","positive",67,0.81,0.98,60,0.55,0.73,NA,NA,NA,NA,NA,NA,0.298511594276385,0.031942863312481
16,"Fact or Artifact? Demand Characteristics and Participants’ Beliefs Can Moderate, but Do Not Fully Account for, the Effects of Facial Feedback on Emotional Experience",2022,2,"between","difference in self-reported anger for angry vs. happy poses

positive demand vs. negative demand","m_sd","positive",67,0.9,1.27,60,0.59,0.98,NA,NA,NA,NA,NA,NA,0.271374946043585,0.0318819782314681
16,"Fact or Artifact? Demand Characteristics and Participants’ Beliefs Can Moderate, but Do Not Fully Account for, the Effects of Facial Feedback on Emotional Experience",2022,2,"between","difference in self-reported anger for anger vs. neutral poses

control vs. negative demand","m_sd","positive",65,0.81,1.08,60,0.55,0.73,NA,NA,NA,NA,NA,NA,0.279954366861133,0.0323647798413805
16,"Fact or Artifact? Demand Characteristics and Participants’ Beliefs Can Moderate, but Do Not Fully Account for, the Effects of Facial Feedback on Emotional Experience",2022,2,"between","difference in self-reported anger for angry vs. happy poses

control vs. negative demand","m_sd","positive",65,0.82,1.25,60,0.59,0.98,NA,NA,NA,NA,NA,NA,0.203796321470226,0.0322174138138612
16,"Fact or Artifact? Demand Characteristics and Participants’ Beliefs Can Moderate, but Do Not Fully Account for, the Effects of Facial Feedback on Emotional Experience",2022,3,"between","difference in self-reported happiness for happy vs. neutral poses

positive demand vs. negative demand","m_sd","positive",62,1.03,1.73,69,0.53,1.32,NA,NA,NA,NA,NA,NA,0.327299597766655,0.031030660028956
16,"Fact or Artifact? Demand Characteristics and Participants’ Beliefs Can Moderate, but Do Not Fully Account for, the Effects of Facial Feedback on Emotional Experience",2022,3,"between","difference in self-reported happiness for happy vs. angry poses

positive demand vs. negative demand","m_sd","positive",62,1.3,1.7,69,0.79,1.14,NA,NA,NA,NA,NA,NA,0.356056222391582,0.0311056638717253
16,"Fact or Artifact? Demand Characteristics and Participants’ Beliefs Can Moderate, but Do Not Fully Account for, the Effects of Facial Feedback on Emotional Experience",2022,3,"between","difference in self-reported anger for angry  vs. neutral poses

positive demand vs. negative demand","m_sd","positive",62,1.36,1.42,69,0.77,1.18,NA,NA,NA,NA,NA,NA,0.454186280288321,0.0314091338858412
16,"Fact or Artifact? Demand Characteristics and Participants’ Beliefs Can Moderate, but Do Not Fully Account for, the Effects of Facial Feedback on Emotional Experience",2022,3,"between","difference in self-reported anger for angry vs. happy poses

positive demand vs. negative demand","m_sd","positive",62,1.34,1.45,69,0.64,1.18,NA,NA,NA,NA,NA,NA,0.532479736153074,0.0317039792759615
17,"Demand effects in survey experiments: An empirical assessment",2019,2,"between","difference in treatment effect for resume replication vs. resume negative","m_sd","negative",513,0.04,0.4529900661,516,0.07,0.4529900661,NA,NA,NA,NA,NA,NA,-0.0662266178556272,0.00388943341320146
17,"Demand effects in survey experiments: An empirical assessment",2019,2,"between","difference in treatment effect for resume positive vs. resume replication","m_sd","positive",493,0.06,0.4440720662,513,0.04,0.4529900661,NA,NA,NA,NA,NA,NA,0.0445789697735227,0.00397870302069152
17,"Demand effects in survey experiments: An empirical assessment",2019,2,"between","difference in treatment effect for resume positive vs. resume negative","m_sd","negative",493,0.07,0.4440720662,516,0.06,0.4543126677,NA,NA,NA,NA,NA,NA,-0.0222549382486859,0.00396662749429495
17,"Demand effects in survey experiments: An empirical assessment",2019,2,"between","difference in treatment effect for news replication vs. news negative","m_sd","positive",478,0.12,0.8745284444,499,0.1,0.8935323161,NA,NA,NA,NA,NA,NA,0.022617115403982,0.00409632001331753
17,"Demand effects in survey experiments: An empirical assessment",2019,2,"between","difference in treatment effect for news positive vs. news replication","m_sd","positive",534,0.16,0.9243376007,478,0.12,0.8745284444,NA,NA,NA,NA,NA,NA,0.0443873814027745,0.00396568282378627
17,"Demand effects in survey experiments: An empirical assessment",2019,2,"between","difference in treatment effect for news positive vs. news negative","m_sd","positive",534,0.16,0.9243376007,499,0.1,0.8935323161,NA,NA,NA,NA,NA,NA,0.0659639228016545,0.00387877330973453
17,"Demand effects in survey experiments: An empirical assessment",2019,3,"between","difference in treatment effect for democracy explicit vs. democracy replication","m_sd","positive",655,0.1,0.5118593557,620,0.09,0.7469939759,NA,NA,NA,NA,NA,NA,0.0156954567730247,0.0031397173898675
17,"Demand effects in survey experiments: An empirical assessment",2019,3,"between","difference in treatment effect for democracy incentive vs. democracy replication","m_sd","positive",599,0.23,0.734234295,620,0.09,0.7469939759,NA,NA,NA,NA,NA,NA,0.188997206567009,0.00329700363824528
17,"Demand effects in survey experiments: An empirical assessment",2019,3,"between","difference in treatment effect for welfare explicit vs. welfare replication","m_sd","positive",642,0.58,0.5067543784,604,0.55,0.4915282291,NA,NA,NA,NA,NA,NA,0.0600682577789498,0.00321470944938075
17,"Demand effects in survey experiments: An empirical assessment",2019,3,"between","difference in treatment effect for welfare incentive vs. welfare replication","m_sd","positive",628,0.6,0.5011985634,604,0.55,0.4915282291,NA,NA,NA,NA,NA,NA,0.10070873224405,0.00325210199935332
17,"Demand effects in survey experiments: An empirical assessment",2019,4,"between","difference in treatment effect for news explicit vs. news replication","m_sd","negative",803,0.11,0.8501176389,780,0.11,0.8378544026,NA,NA,NA,NA,NA,NA,0,0.00252738129450458
17,"Demand effects in survey experiments: An empirical assessment",2019,4,"between","difference in treatment effect for news incentive vs. news replication","m_sd","negative",791,0.1,0.8437416666,780,0.11,0.8378544026,NA,NA,NA,NA,NA,NA,-0.0118930978291041,0.00254631880296358
17,"Demand effects in survey experiments: An empirical assessment",2019,5,"between","difference in treatment effect for framing explicit vs. framing replication","m_sd","positive",1844,0.16,0.8588364221,1867,0.15,0.864175908,NA,NA,NA,NA,NA,NA,0.0116072992036625,0.0010779361414769
17,"Demand effects in survey experiments: An empirical assessment",2019,5,"between","difference in treatment effect for framing incentive vs. framing replication","m_sd","negative",1839,0.13,0.8576712657,1867,0.15,0.864175908,NA,NA,NA,NA,NA,NA,-0.0232300363101978,0.00107946523516179
17,"Demand effects in survey experiments: An empirical assessment",2019,5,"between","difference in treatment effect for democracy explicit vs. democracy replication","m_sd","positive",1826,0.09,0.8546344248,1828,0.08,0.8551023331,NA,NA,NA,NA,NA,NA,0.0116977050186884,0.00109470980199769
17,"Demand effects in survey experiments: An empirical assessment",2019,5,"between","difference in treatment effect for democracy incentive vs. democracy replication","m_sd","positive",1896,0.09,0.8708616423,1828,0.08,0.8551023331,NA,NA,NA,NA,NA,NA,0.0115853120716248,0.00107449013306966
17,"Demand effects in survey experiments: An empirical assessment",2019,5,"between","difference in treatment effect for welfare explicit vs. welfare replication","m_sd","negative",1861,0.44,0.4313930922,1833,0.46,0.4281354926,NA,NA,NA,NA,NA,NA,-0.0465354658133516,0.00108319236736812
17,"Demand effects in survey experiments: An empirical assessment",2019,5,"between","difference in treatment effect for welfare incentive vs. welfare replication","m_sd","positive",1856,0.49,0.4308131846,1833,0.46,0.4281354926,NA,NA,NA,NA,NA,NA,0.0698511369668911,0.00108500815539183
